var name, type , #
GLMFinder>>addPaneFromInner:>>arg>>aPort,GLMPanePort,5
GLMDashboard>>addPaneNamed:layout:>>arg>>aSymbol,ByteSymbol,5
GLMPaneReplaced>>oldPane,GLMPane,2
GLMCustomCell>>browser,GLMTabulator,221
GLMFinder>>showFirst:>>arg>>aBlock,BlockClosure,5
GLMTabulator>>row:span:>>arg>>aBlockOrSymbol,BlockClosure,1,ByteSymbol,3
GLMTabulator>>row:span:>>arg>>anInteger,SmallInteger,4
GLMTabulator>>addRow:>>arg>>aBlockOrSymbol,BlockClosure,8,ByteSymbol,51
GLMFinder>>innerPortEvent:>>2>>temp>>index,SmallInteger,5
GLMAbstractWizardStep>>presentationBlock:>>arg>>aBlock,BlockClosure,1
GLMFinder>>fixedSizePanes,SmallInteger,6
GLMFinder>>addPaneFromOuter:>>temp>>newPane,GLMPane,6
GLMCustomCell>>children,OrderedCollection,85
GLMTabulator>>addRow:size:>>arg>>aBlockOrSymbol,ByteSymbol,4
GLMCustomColumn>>addRow:>>temp>>cell,GLMCustomRow,71
GLMAbstractWizardStep>>presentationBlock,BlockClosure,1
GLMFinder>>lastActivePresentation:>>arg>>aPresentation,UndefinedObject,7
GLMDashboard>>addPaneNamed:layout:>>arg>>aLayout,Rectangle,5
GLMCustomCell>>id:>>arg>>anObject,ByteSymbol,136
GLMFinder>>innerPortEvent:>>arg>>aPortEvent,GLMPortEvent,155
GLMWizardGenericStep>>size:>>arg>>aNumberOrAblock,SmallInteger,1
GLMDashboard>>addPaneNamed:>>arg>>aString,ByteSymbol,16
GLMCustomCell>>size:>>arg>>anObject,SmallInteger,9
GLMTabulator>>row:>>arg>>aBlockOrSymbol,BlockClosure,7,ByteSymbol,44
GLMTabulator>>row:size:>>arg>>aBlockOrSymbol,ByteSymbol,4
GLMCustomRow>>addColumn:span:>>arg>>aBlockOrSymbol,ByteSymbol,4
GLMPaneAnnouncement>>position,SmallInteger,8
GLMTabulator>>cell,GLMCustomRow,37,GLMCustomColumn,34
GLMValidator>>addButtonAction:>>arg>>aGLMGenericAction,GLMGenericAction,2
GLMBrowserClosing>>presentation:>>arg>>anObject,GTGenericStackDebugger,2,GTInspector,1
GLMFinder>>innerPortEvent:>>2>>temp>>toReplace,GLMPane,2
GLMPaneReplaced>>oldPane:>>arg>>anObject,GLMPane,2
GLMFinder>>hasFixedSizePanes,True,6,False,1
GLMCustomCell>>id,ByteSymbol,136
GLMPaneAnnouncement>>pane:>>arg>>anObject,GLMPane,8
GLMCustomCell>>span:>>arg>>anObject,SmallInteger,13
GLMFinder>>outerPortEvent:>>arg>>aPortEvent,GLMPortEvent,140
GLMPaneAnnouncement>>browser:>>arg>>anObject,GLMPager,10
GLMWizard>>steps,OrderedCollection,1
GLMCustomRow>>column:span:>>arg>>anInteger,SmallInteger,4
GLMFinder>>fixedSizePanes:>>arg>>anInteger,SmallInteger,2
GLMPaneAnnouncement>>pane,GLMPane,8
GLMPaneReplaced>>newPane,GLMPane,2
GLMCustomColumn>>row:span:>>arg>>anInteger,SmallInteger,1
GLMFinder>>addPaneFromInner:>>temp>>lastActive,UndefinedObject,5
GLMFinder>>hasFixedSizePanes:>>arg>>aBoolean,True,2,False,1
GLMCustomRow>>addColumn:span:>>arg>>anInteger,SmallInteger,4
GLMCustomRow>>addColumn:>>temp>>newColumn,GLMCustomColumn,6
GLMTabulator>>renderGlamorouslyOn:>>arg>>aRenderer,GLMMorphicRenderer,6
GLMAbstractWizardStep>>show:>>arg>>aBlock,BlockClosure,1
GLMFinder>>firstTransmission,GLMTransmission,5
GLMCustomColumn>>addRow:span:>>arg>>aBlockOrSymbol,ByteSymbol,1
GLMCustomRow>>column:>>arg>>aBlockOrSymbol,ByteSymbol,14
GLMPaneAnnouncement>>position:>>arg>>anObject,SmallInteger,8
GLMCustomColumn>>row:>>arg>>aBlockOrSymbol,ByteSymbol,11
GLMFinder>>addPaneFromInner:>>temp>>newPane,GLMPane,5
GLMCustomColumn>>addRow:span:>>arg>>anInteger,SmallInteger,1
GLMCustomColumn>>row:span:>>arg>>aBlockOrSymbol,ByteSymbol,1
GLMCustomCell>>span,SmallInteger,21
GLMPaneAnnouncement>>browser,GLMPager,10
GLMStacker>>aPane:>>arg>>aBlockOrSymbol,ByteSymbol,2
GLMTabulator>>addRow:size:>>arg>>anInteger,SmallInteger,4
GLMBrowserClosing>>presentation,GTGenericStackDebugger,2,GTInspector,1
GLMDashboard>>panesLayouts,Dictionary,1
GLMWizardGenericStep>>size,SmallInteger,2
GLMAbstractWizardStep>>name:>>arg>>aSymbolOrABlock,ByteString,1
GLMValidator>>buttonActions,OrderedCollection,3
GLMCustomRow>>addColumn:>>arg>>aBlockOrSymbol,BlockClosure,6,ByteSymbol,73
GLMCustomCell>>size,SmallInteger,9
