var name, type , #
GLMOriginPortReference>>active,True,1041
GLMPresentation>>dynamicActionsOnSelection:>>arg>>aBlock,BlockClosure,19
GLMBrowser>>postCopy>>1>>arg>>each,GLMPane,4,GLMTransmission,12
GLMPresentation>>dynamicActions:>>arg>>aBlock,BlockClosure,12
GLMCompositePresentation>>openOn:with:>>arg>>aRenderer,GLMMorphicRenderer,2
GLMPresentation>>acceptsSelection,True,2
GLMUpdateAction>>announcement,GLMItemAdded class,1,GLMItemRemoved class,1
GLMPresentation>>selectionTransformation:>>arg>>anObject,ByteSymbol,3
GLMAction>>installKeyCombinationForPresentation:onMorph:>>arg>>aMorph,FTTableMorph,22,GLMPaginatedResizableMorphTreeMorph,11,GLMSystemWindow,5,RubEditingArea,97
GLMTransmission>>changePortsAccordingToPaneMapping:fromOldBrowser:toNewBrowser:>>arg>>anotherBrowser,GLMTabulator,12
GLMAction>>installKeyCombinationForPresentation:onMorph:>>arg>>aPresentation,GTGenericStackDebugger,5,GLMFastTablePresentation,22,GLMPharoMethodPresentation,45,GLMPharoScriptPresentation,52,GLMTablePresentation,11
GLMAction>>isAvailableOn:>>arg>>aPresentation,GTGenericStackDebugger,12,GLMFastTablePresentation,112,GLMPharoMethodPresentation,90,GLMPharoScriptPresentation,77,GLMCompositePresentation,5,GTInspector,6,GTSimpleMethodsBrowser,6,GLMTablePresentation,17,GLMRubricTextPresentation,2
GLMBrowser>>lastActivePresentation:>>arg>>aPresentation,GLMFastTablePresentation,3
GLMPresentationBoundPort>>receive:in:>>arg>>aContext,GLMTransmissionContext,12
GLMBrowser>>resolveDestinationPort:>>arg>>aPortReference,GLMPortIdentifier,22,ByteSymbol,159,Association,28
GLMPane>>cachedMatchingPresentations,OrderedCollection,797
GLMCompositePresentation>>includes:>>arg>>aPresentation,GLMPharoScriptPresentation,9,GLMPharoMethodPresentation,6,GTSimpleMethodsBrowser,6,GLMTablePresentation,6
GLMPane>>update>>2>>arg>>each,GLMPharoMethodPresentation,1,GLMTabulator,1,GLMDynamicPresentation,1,GLMFastTablePresentation,1
GLMExplicitBrowser>>paneNamed:>>1>>arg>>each,GLMPane,1116
GLMPresentation>>act:entitled:>>arg>>aBlock,BlockClosure,3
GLMTransmissionStrategy>>transmission:>>arg>>anObject,GLMTransmission,314
GLMPort>>name,ByteSymbol,2167
GLMPane>>initializeNamed:in:>>arg>>aBrowser,GLMTabulator,136,GLMStacker,2,GLMDashboard,16,GLMNoBrowser,113,GLMPager,11
GLMPresentation>>addAction:>>arg>>anAction,GLMGenericAction,31,GLMSpawnBrowserAction,1
GLMPanePort>>receive:in:>>arg>>aTransmission,GLMTransmission,67
GLMPort>>name:>>arg>>aSymbol,ByteSymbol,2167
GLMCompositePresentation>>pane:>>1>>arg>>each,GLMCompositePresentation,4,GLMDynamicPresentation,11,GLMListPresentation,26,GLMTabulator,23,GLMPharoMethodPresentation,11,GLMFastTablePresentation,3,GLMRubricTextPresentation,2,GTObjectVariablesBrowser,2,GLMPharoScriptPresentation,9,GTDebuggerVariablesBrowser,4,GTDebuggerInspector,4,GLMTablePresentation,17,GTSimpleMethodsBrowser,8,GLMPager,12
GLMPresentation>>selection:>>arg>>anObject,Context,4,Association,1
GLMPresentation>>sourceContext:>>arg>>aContext,Context,108
GLMPresentation>>titleAction:>>arg>>aBlock,BlockClosure,2
GLMBrowser>>withAllPanesAndPresentationsDo:>>arg>>aBlock,BlockClosure,3
GLMPresentation>>morphicSelectionAct:icon:on:entitled:>>arg>>aString,ByteString,34
GLMTransmission>>destination,GLMPresentationBoundPort,945,UndefinedObject,11,GLMPanePort,210
GLMPresentation>>initializationBlock,BlockClosure,5
GLMBrowser>>postCopy>>temp>>oldPane,GLMPane,4
GLMPresentationBoundPort>>copyAccordingToPaneMapping:inNewBrowser:>>arg>>anotherBrowser,GLMTabulator,8
GLMPane>>renderGlamorouslyOn:>>arg>>aRenderer,GLMMorphicRenderer,17
GLMPresentation>>act:icon:entitled:>>arg>>anIcon,ColorForm,1,Form,8
GLMPresentation>>titleIcon:>>arg>>anObject,BlockClosure,4
GLMPresentation>>withAllPresentations>>temp>>result,OrderedCollection,1
GLMTransmissionContext>>includesPort:>>arg>>aPort,GLMPanePort,45,GLMPresentationBoundPort,7
GLMAction>>icon,ColorForm,1,Form,202,UndefinedObject,65
