var name, type , #
TableLayout>>minExtentVertical:>>temp>>inset,Point,2255
LayoutCell>>vSpaceFill:>>arg>>aBool,True,2757,False,1897
TableLayoutProperties>>listCentering,ByteSymbol,75309
TableLayout>>layoutLeftToRight:in:>>1>>temp>>sizeX,SmallInteger,40136,BoxedFloat64,13975
TextComposer>>multiComposeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argWantsColumnBreaks,False,20471
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:>>arg>>stateSymbol,UndefinedObject,1
MorphicAlarm>>value:>>arg>>anArgument,SmallInteger,2173
TextMorph>>backgroundColor,Color,71
MorphicEventHandler>>notifyMorphsOfEvent:ofType:from:>>temp>>result,False,101
TextMorphForEditView>>keyStroke:>>arg>>evt,KeyboardEvent,8
TableLayout>>minExtentHorizontal:>>arg>>aMorph,AlignmentMorph,2029,PanelMorph,1060,HSVColorSelectorMorph,11,TabLabelMorph,19,IconicListItem,44,FTCellMorph,2112,CheckboxMorph,2025,IconicButton,39,ExpanderTitleMorph,45,ToolDockingBarMorph,44,Morph,149,JobProgressBarMorph,4
StringMorph>>hasFocus,False,61941
Paragraph>>lineIndexForPoint:>>arg>>aPoint,Point,1620
TableLayout>>computeCellSizes:in:horizontal:>>arg>>newBounds,Rectangle,20
TextComposer>>lines,OrderedCollection,20479
TextMorph>>withSuccessorsDo:>>arg>>aBlock,BlockClosure,1
LayoutFrame>>minExtentFrom:>>temp>>height,SmallInteger,570,BoxedFloat64,136
TextMorph>>updateFromParagraph>>temp>>sel,Interval,16
SystemProgressMorph>>addItemShowing:>>1>>temp>>items,SmallInteger,1
TextMorph>>text:textStyle:>>1>>arg>>e,TextFontChange,2
TableLayout>>computeCellArrangement:in:horizontal:target:>>arg>>cellHolder,Association,20
LayoutFrame>>rightOffset:>>arg>>anInteger,SmallInteger,226,BoxedFloat64,6
TextLine>>top,SmallInteger,32425,BoxedFloat64,8218
TransformMorph>>transformFrom:>>arg>>uberMorph,GLMPaginatedResizableMorphTreeMorph,136,RubTextScrollPane,7,TransformWithLayoutMorph,20,MorphTreeTransformMorph,19783,WorldMorph,2,TreeListMorph,3788,HandMorph,162,PluggableTextMorph,7,PluggableTextFieldMorph,3096,PluggableListMorph,96,MorphTreeMorph,2048,LazyMorphTreeMorph,12224,TransformMorph,183
TextMorph>>handlesMouseDown:>>arg>>evt,MouseButtonEvent,1
EmbeddedMenuMorph>>drawOn:>>arg>>aCanvas,FormCanvas,7
Paragraph>>selectionContainsPoint:>>arg>>aPoint,Point,1
Paragraph>>replaceFrom:to:with:>>arg>>stop,SmallInteger,8
Paragraph>>buildSelectionBlocksFrom:to:>>arg>>topLeft,Point,1
TextComposer>>addNullLineWithIndex:andRectangle:>>arg>>index,SmallInteger,3351
Paragraph>>selectionRectsFrom:to:>>arg>>characterBlock2,CharacterBlock,6188
TableLayout>>layoutTopToBottom:in:>>temp>>n,SmallInteger,14846
SimpleBorder>>baseColor:>>arg>>aColor,Color,47608
TextMorph>>contents:wrappedTo:>>arg>>stringOrText,ByteString,3028,Text,2
StringMorph>>contents,ByteString,30043,ByteSymbol,1104
SystemProgressMorph>>lastRefresh,SmallInteger,39
ProgressBarMorph>>value,Fraction,26,SmallInteger,2
Paragraph>>displayOn:using:at:>>temp>>line,TextLine,1139
ProportionalLayout>>minExtentOf:in:>>1>>arg>>m,FTTableMorph,286,PanelMorph,136,GLMPaginatedResizableMorphTreeMorph,68,Morph,216
MorphicAlarm>>scheduledTime,SmallInteger,2223
ToggleMenuItemMorph>>drawText:on:in:color:>>arg>>aRectangle,Rectangle,62
TextMorph>>updateFromParagraph>>temp>>newStyle,TextStyle,1
Paragraph>>caretRect,Rectangle,87
TextMorphForEditView>>keyStroke:>>temp>>view,PluggableTextFieldMorph,8
LayoutFrame>>minExtentFrom:>>temp>>widthProp,SmallInteger,272,BoxedFloat64,81
