var name, type , #
Morph>>handleMouseUp:>>5>>temp>>result,TextEntryDialogWindow,1,PluggableDialogWindow,4,TextMorphForFieldView,1,PluggableButtonMorph,2,QuestionDialogWindow,1
HandMorph>>needsToBeDrawn>>2>>arg>>ea,QuestionDialogWindow,1,PluggableDialogWindow,1,TextEntryDialogWindow,2
MouseMoveEvent>>timeStamp,SmallInteger,943
Morph>>openInWindowLabeled:inWorld:>>arg>>aString,ByteString,11
DamageRecorder>>invalidRectsFullBounds:>>arg>>aRectangle,Rectangle,210
HandMorph>>bounds,Rectangle,19
Morph>>handleMouseUp:>>arg>>anEvent,MouseButtonEvent,12
HandMorph>>keyboardFocus:>>arg>>aMorphOrNil,UndefinedObject,1
Morph>>openModal:>>temp>>area,Rectangle,3
WorldState>>doDeferredUpdatingFor:>>arg>>aWorld,WorldMorph,170
WindowEvent>>rectangle:>>arg>>aValue,Rectangle,1
MouseMoveEvent>>setType:startPoint:endPoint:trail:buttons:hand:stamp:>>arg>>evtStart,Point,943
Morph>>handleKeyDown:>>arg>>anEvent,KeyboardEvent,36
Morph>>privateMoveBy:>>arg>>delta,Point,434844
Morph>>bounds:in:>>arg>>referenceMorph,UndefinedObject,13,MorphTreeMorph,2005,PluggableListMorph,121,LazyMorphTreeMorph,12125,WorldMorph,22,TreeListMorph,3752
WorldMorph>>addAlarm:withArguments:for:at:>>arg>>argArray,Array,7
MouseButtonEvent>>buttons,SmallInteger,32
WorldState>>displayWorld:submorphs:>>arg>>aWorld,WorldMorph,67972
MouseMoveEvent>>setType:startPoint:endPoint:trail:buttons:hand:stamp:>>arg>>evtHand,HandMorph,943
WorldState>>drawWorld:submorphs:invalidAreasOn:>>arg>>submorphs,Array,170
DropEvent>>position,Point,92
Morph>>update:>>arg>>anAspect,ByteSymbol,4091
Morph>>bindKeyCombination:toAction:>>arg>>aShortcut,Character,2,KMModifiedKeyCombination,16,KMUntypeableSingleKeyCombination,6
MorphExtension>>hasProperty:>>temp>>property,True,1,IdentityDictionary,4,UndefinedObject,2086
Morph>>handleUpdate:>>arg>>aMorphChangedAnnouncement,MorphChanged,5588,MorphChangedWithArguments,3
MouseWheelEvent>>setType:position:direction:buttons:hand:stamp:>>arg>>stamp,SmallInteger,4
Morph>>findDeeplyA:>>1>>arg>>p,ToggleMenuItemMorph,150,TransformWithLayoutMorph,3,GeneralScrollBar,2,AlignmentMorph,3,GeneralScrollPane,3,ImageMorph,4,BorderedMorph,8,Morph,2,EmbeddedMenuMorph,3
BorderedMorph>>borderColor:>>arg>>colorOrSymbolOrNil,ByteSymbol,18519,Color,62789
HandMorph>>mouseListeners,WeakArray,1,UndefinedObject,1
Morph>>dispatchKeystrokeForEvent:>>arg>>evt,KeyboardEvent,25
HandMorph>>generateKeyboardEvent:>>temp>>charCode,SmallInteger,95
Morph>>handleMouseWheel:>>arg>>anEvent,MouseWheelEvent,16
HandMorph>>handleEvent:>>13>>temp>>treshold,SmallInteger,46,BoxedFloat64,30
KeyboardEvent>>setType:buttons:position:keyValue:charCode:hand:stamp:>>arg>>aValue,SmallInteger,91
Morph>>center:>>arg>>aPoint,Point,1
Morph>>submorphIndexOf:>>arg>>aMorph,TabManagerMorph,1,DockingBarToggleMenuItemMorph,2,TopLeftGripMorph,55,SeparatorMorph,2,AColorSelectorMorph,42,TabBarMorph,1,HSVAColorSelectorMorph,4,BorderedMorph,72,ColorPresenterMorph,2,ImageMorph,36,WindowEdgeGripMorph,220,SVColorSelectorMorph,8,Morph,511,BracketMorph,100,PlainGroupboxMorph,16,PluggableSliderMorph,36,BottomLeftGripMorph,55,BottomRightGripMorph,55,AlignmentMorph,115,PanelMorph,132,HSVColorSelectorMorph,6,LabelMorph,303,HColorSelectorMorph,8,AlphaImageMorph,36,MultistateButtonMorph,100,TopRightGripMorph,55,TextMorph,28
Morph>>referencePosition:>>temp>>intPos,Point,4
HandMorph>>mouseFocus:>>arg>>aMorphOrNil,UndefinedObject,21,TextEntryDialogWindow,4,PluggableDialogWindow,6,PluggableButtonMorph,2,TextMorphForFieldView,1,QuestionDialogWindow,3
WorldState>>addAlarm:withArguments:for:at:>>arg>>argArray,Array,7
Morph>>removeAllMorphs>>temp>>myWorld,WorldMorph,469,UndefinedObject,88728
MorphicEventDispatcher>>dispatchMouseDown:with:>>temp>>globalPt,Point,192
