var name, type , #
FAMIXAnnotationInstance>>creatingDirectionSymbol:>>arg>>anInOutSymbol,ByteSymbol,18781
FAMIXNamedEntity>>privateQuery:with:>>arg>>anInOutSymbol,ByteSymbol,318625
FAMIXBehaviouralEntity>>declaredType:>>arg>>aType,FAMIXParameterizedType,520,FAMIXParameterizableClass,976,FAMIXPrimitiveType,9903,FAMIXClass,5509,FAMIXEnum,13,FAMIXParameterType,53,FAMIXType,741
FAMIXBehaviouralEntity>>cyclomaticComplexity:>>arg>>aNumber,SmallInteger,19253
FAMIXNamedEntity>>queryLocal:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,78868,FAMIXInheritance class,78868,FAMIXReference class,78868,FAMIXInvocation class,82021
FAMIXClass>>isInterface:>>arg>>boolean,True,347
FAMIXBehaviouralEntity>>queryLocal:with:>>temp>>coll,OrderedCollection,177437
FAMIXNamespace>>mooseNameOn:>>arg>>aStream,WriteStream,6876742,LimitedWriteStream,699
FAMIXInheritance>>mooseNameOn:>>arg>>aStream,WriteStream,13
FAMIXClass>>isInterface,True,347,False,5611
FAMIXType>>queryLocal:with:>>temp>>m1,ByteString,68533
FAMIXNamespace>>printOn:>>1>>arg>>parent,FAMIXNamespace,15
MooseEntity>>propertyNamed:ifNil:>>arg>>propertyName,ByteSymbol,108
FAMIXAnnotationInstanceAttribute>>privateQuery:with:>>arg>>anInOutSymbol,ByteSymbol,922
FAMIXMethod>>printOn:>>arg>>aStream,LimitedWriteStream,530
FAMIXAccess>>variable:>>arg>>aStructuralEntity,FAMIXParameter,195,FAMIXEnumValue,87,FAMIXLocalVariable,53,FAMIXAttribute,29857
FAMIXAnnotationType>>instances,FMNullMultivalueLink,4
FAMIXType>>queryLocal:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,16982,FAMIXInheritance class,16982,FAMIXReference class,16982,FAMIXInvocation class,17587
FAMIXNamedEntity>>name,ByteString,73593,UndefinedObject,73593
FAMIXMethod>>kind,ByteSymbol,3070
FAMIXInvocation>>sender:>>arg>>aBehaviouralEntity,FAMIXMethod,87250
FAMIXType>>creatingDirectionSymbol:>>arg>>anInOutSymbol,ByteSymbol,87629
FAMIXInvocation>>sender,FAMIXMethod,87250,UndefinedObject,87250
FAMIXSourcedEntity>>numberOfJavaNullChecks>>1>>temp>>nullCheckTextPatterns,Array,20227
FAMIXContainerEntity>>types,FMNullMultivalueLink,34712
FAMIXBehaviouralEntity>>createIncomingQueryResultWith:>>arg>>aCollection,Array,179749
MooseEntity>>spotterProcessorsFor:>>arg>>aSpotterStep,GTSpotterStep,4
FAMIXBehaviouralEntity>>incomingInvocations,FMMultiMultivalueLink,25409
FAMIXParameter>>mooseNameOn:>>arg>>stream,WriteStream,35218
FAMIXAnnotationInstanceAttribute>>privateQuery:with:>>temp>>aTmpColl,Set,922
FAMIXType>>queryLocal:with:>>temp>>m2,ByteString,68533
FAMIXInvocation>>receiverSourceCode,UndefinedObject,87250
FAMIXInvocation>>signature:>>arg>>aString,ByteString,87246,WideString,4
FAMIXAnnotationInstanceAttribute>>parentAnnotationInstance:>>arg>>anAnnotationInstance,FAMIXAnnotationInstance,84
FAMIXType>>superclassHierarchy>>temp>>superclasses,OrderedCollection,4774
FAMIXBehaviouralEntity>>query:with:>>temp>>directionSymbol,ByteString,2312
FAMIXLocalVariable>>parentBehaviouralEntity:>>arg>>aBehaviouralEntity,FAMIXMethod,12631
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,164,FAMIXInheritance class,164,FAMIXReference class,164,FAMIXInvocation class,430
