var name, type , #
MooseGroup>>initializeWithAll:>>arg>>aCollection,FAMIXClassGroup,1,FAMIXTypeGroup,1,OrderedCollection,61,SmallDictionary,4,FAMIXNamespaceGroup,1,MooseGroup,1
MooseEntity>>propertyNamed:ifNil:>>arg>>aBlock,BlockClosure,108
MooseGroup>>collect:>>temp>>result,MooseGroup,1
MooseGroup>>updateTypeAccordingToEntities>>2>>arg>>each,HismoCoChangePattern class,24,FAMIXAnnotationTypeGroup class,24,HismoClassHistoryGroup class,20,DynamixTraceGroup class,20,FAMIXFolderGroup class,20,MooseModel class,24,DudeDuplicationGroup class,20,MooseGroup class,24,FAMIXPackageGroup class,20,HismoNamespaceHistoryGroup class,20,FAMIXTypeGroup class,20,FAMIXGlobalVariableGroup class,24,FAMIXMethodGroup class,24,FAMIXFileGroup class,20,FAMIXNamespaceGroup class,20,FAMIXAnnotationInstanceGroup class,24,HismoMethodHistoryGroup class,20,DudeMultiplicationGroup class,20,HismoHistoryGroup class,24,FAMIXClassGroup class,20,MoosePropertyGroup class,24
MooseTask>>progBar,Job,1
MooseEntity>>propertyNamed:ifNil:>>1>>temp>>property,UndefinedObject,108
MooseGroupRuntimeStorage>>add:>>arg>>anElement,FAMIXClass,35814,FAMIXType,8535,FAMIXThrownException,4362,FAMIXCaughtException,2426,FAMIXDeclaredException,1096,FAMIXEnum,49,FAMIXParameterType,155,FAMIXAnnotationTypeAttribute,1,MooseObjectQueryResult,4774,FAMIXAccess,60384,FAMIXMethod,118701,FAMIXJavaSourceLanguage,3,FAMIXComment,30568,FAMIXParameterizedType,2421,FAMIXAnnotationInstanceAttribute,84,FAMIXLocalVariable,25262,FAMIXInvocation,174500,FAMIXPrimitiveType,54,FAMIXAnnotationInstance,3894,FAMIXParameterizableClass,357,FAMIXEnumValue,276,MooseModel,1,FAMIXImplicitVariable,5392,FAMIXNamespace,640,FAMIXParameter,35218,FAMIXAnnotationType,17,FAMIXInheritance,8288,FAMIXAttribute,11612,FAMIXReference,15978,FAMIXFileAnchor,53875
MooseAbstractGroup>>mooseFinderListIn:>>9>>arg>>input,MooseModel,28,FAMIXClassGroup,47,FAMIXMethodGroup,43,MooseGroup,2
MooseGroupRuntimeStorage>>do:>>arg>>aBlock,BlockClosure,77
MooseCustomTask>>computation,BlockClosure,1
MooseAbstractGroup>>allWithSubTypesOf:>>arg>>aSmalltalkClass,FAMIXNamespace class,3,FAMIXPackage class,3,MooseModel class,2
MooseDefaultState>>propertyAt:ifAbsent:>>arg>>aBlock,BlockClosure,17969
MooseGroup>>changeTypeTo:>>arg>>aSmalltalkClass,FAMIXClassGroup class,4,FAMIXMethodGroup class,4,MooseGroup class,16
MooseDefaultState>>hasMooseModel>>temp>>each,Association,259906
MooseGroup>>updateTypeAccordingToEntities>>temp>>common,FAMIXMethod class,4,MooseObjectQueryResult class,1,Object class,8,FAMIXPrimitiveType class,2,FAMIXClass class,4,FAMIXJavaSourceLanguage class,5
MooseModel>>importFromMSEStream:>>arg>>aStream,MultiByteFileStream,1
MooseEntityAnnouncement>>entity:>>arg>>anObject,MooseModel,1
MooseEntityRenamed>>oldName:>>arg>>anObject,ByteSymbol,1
MooseModel>>name:>>arg>>aStringOrSymbol,ByteString,1
MooseEntity>>printOn:>>arg>>aStream,LimitedWriteStream,1246
MooseAbstractGroup>>mooseFinderListIn:>>arg>>composite,GLMCompositePresentation,11
MooseDefaultState>>attributeAt:put:>>temp>>each,Association,4427
MooseEntity>>mooseDisplayStringOn:>>arg>>stream,WriteStream,1293880
MooseEntity>>spotterProcessorsFor:>>arg>>aSpotterStep,GTSpotterStep,4
MooseModel>>cacheMooseGroups>>1>>arg>>bar,MooseCustomTask,47
MooseModel>>sourceLanguage,FAMIXJavaSourceLanguage,1
MooseGroup>>addAll:>>arg>>collection,OrderedCollection,16,MooseGroup,8
MooseGroup>>updateTypeAccordingToEntities>>temp>>wantedType,ByteSymbol,24
MooseAbstractGroup>>allWithType:ofGroupClass:>>arg>>aSmalltalkClass,FAMIXThrownException class,2,FAMIXJavaSourceLanguage class,1,FAMIXAccess class,2,FAMIXEnumValue class,2,FAMIXEnum class,2,FAMIXImplicitVariable class,2,FAMIXCppSourceLanguage class,1,FAMIXCaughtException class,2,FAMIXModule class,2,DynamixTrace class,2,FAMIXInvocation class,2,FAMIXMethod class,3,FAMIXTypeAlias class,2,DudeDuplication class,2,FAMIXUnknownVariable class,2,FAMIXParameterizableClass class,2,FAMIXSmalltalkMonticelloSourceLanguage class,1,FAMIXFunction class,2,FAMIXParameterizedType class,2,HismoModelHistory class,2,FAMIXReference class,2,FAMIXDeclaredException class,2,DudeMultiplication class,2,FAMIXAnnotationInstance class,2,FAMIXPrimitiveType class,2,FAMIXParameterType class,2,FAMIXHeader class,2,FAMIXGlobalVariable class,2,FAMIXCSourceLanguage class,1,FAMIXUnknownSourceLanguage class,1,FAMIXParameter class,2,FAMIXFolder class,2,FAMIXInheritance class,2,FAMIXSourceLanguage class,1,FAMIXAttribute class,2,FAMIXAnnotationType class,2,FAMIXCustomSourceLanguage class,1,FAMIXLocalVariable class,2,FAMIXSmalltalkSourceLanguage class,1,FAMIXComment class,2,FAMIXFile class,2
MooseDefaultState>>propertyAt:put:>>arg>>name,ByteSymbol,38506
MooseEntityState>>cache:initializer:>>arg>>aBlock,BlockClosure,60681
MooseEntityRenamed>>oldName,ByteSymbol,1
MooseGroupRuntimeStorage>>privateAdd:>>arg>>anElement,FAMIXClass,35814,FAMIXType,8535,FAMIXThrownException,4362,FAMIXCaughtException,2426,FAMIXDeclaredException,1096,FAMIXEnum,49,FAMIXParameterType,155,FAMIXAnnotationTypeAttribute,1,MooseObjectQueryResult,4774,FAMIXAccess,60384,FAMIXMethod,118701,FAMIXJavaSourceLanguage,3,FAMIXComment,30568,FAMIXParameterizedType,2421,FAMIXAnnotationInstanceAttribute,84,FAMIXLocalVariable,25262,FAMIXInvocation,174500,FAMIXPrimitiveType,54,FAMIXAnnotationInstance,3894,FAMIXParameterizableClass,357,FAMIXEnumValue,276,MooseModel,1,FAMIXImplicitVariable,5392,FAMIXNamespace,640,FAMIXParameter,35218,FAMIXAnnotationType,17,FAMIXInheritance,8288,FAMIXAttribute,11612,FAMIXReference,15978,FAMIXFileAnchor,53875
MooseEntity>>propertyNamed:ifNil:>>temp>>prop,ByteSymbol,108
MooseAbstractGroup>>allModelClasses>>2>>arg>>each,FAMIXClass,8119,FAMIXParameterizableClass,71
MooseModel>>silentlyAddAll:>>arg>>entities,Array,1
MooseDefaultState>>attributeAt:ifAbsent:>>arg>>name,ByteSymbol,101206
MooseEntityAnnouncement>>entity,MooseModel,1
MooseGroup>>select:>>arg>>aBlock,BlockClosure,1,ByteSymbol,4
MooseModel>>installWithCache:>>arg>>aBoolean,True,1
MooseAbstractGroup>>printOn:>>arg>>aStream,LimitedWriteStream,20
MooseAbstractGroup>>storage,MooseGroupRuntimeStorage,71
MooseEntity>>mooseFinderPropertiesIn:>>1>>arg>>anObject,MooseModel,42,FAMIXClassGroup,141,FAMIXMethodGroup,129,MooseGroup,6
MooseCustomTask>>description,ByteString,1
MooseGroup>>mooseDisplayStringOn:>>arg>>stream,WriteStream,37
MooseEntity>>mooseFinderPropertiesIn:>>arg>>composite,GLMCompositePresentation,11
MooseGroupStorage>>becomeKind:>>arg>>elementStorageClass,MooseGroupRuntimeStorage class,128
MooseDefaultState>>attributeAt:put:>>arg>>value,MooseModel,278302,True,1028,ByteString,125
MooseModel>>allSourceLanguages>>temp>>result,MooseGroup,1
MooseDefaultState>>attributeAt:ifAbsentPut:>>arg>>name,ByteSymbol,284488
MooseEntity>>gtInspectorPresentationsIn:inContext:>>arg>>aGTInspector,GTInspector,1
MooseAbstractGroup>>detect:ifNone:>>arg>>anotherBlock,BlockClosure,1
MooseEntity>>mooseNameOn:>>arg>>aStream,WriteStream,254,LimitedWriteStream,2
MooseModel>>importFromMSEStream:>>temp>>repository,FMRepository,1
MooseEntity>>privateSetMooseModel:>>arg>>aMooseModel,MooseModel,278302
MooseEntityState>>model:>>arg>>anObject,MooseModel,278302
MooseCustomTask>>with:description:length:>>arg>>aDescription,ByteString,1
MooseGroup>>reject:>>arg>>aBlock,BlockClosure,4
MooseDefaultState>>cacheAt:ifAbsentPut:>>arg>>aBlock,BlockClosure,467
MooseModel>>importFromMSE>>temp>>stream,MultiByteFileStream,1
MooseCustomTask>>length,SmallInteger,1
MooseTask>>runWithProgress>>temp>>result,MooseCustomTask,1
MooseDefaultState>>propertyAt:ifAbsent:>>arg>>name,ByteSymbol,17969
MooseAbstractGroup>>detect:ifNone:>>arg>>aBlock,BlockClosure,1
MooseEntity>>gtInspectorPresentationsIn:inContext:>>1>>arg>>y,Pragma,13
MooseEntity>>propertyNamed:ifNil:>>arg>>propertyName,ByteSymbol,108
MooseModel>>allBookmarks>>1>>arg>>group,FAMIXAnnotationInstanceGroup,1,FAMIXClassGroup,2,FAMIXTypeGroup,3,FAMIXAnnotationTypeGroup,1,FAMIXMethodGroup,2,MooseGroup,43,FAMIXNamespaceGroup,2
MooseDefaultState>>entity,FAMIXDeclaredException,548,FAMIXClass,5551,FAMIXThrownException,2181,FAMIXType,2845,FAMIXCaughtException,1213,FAMIXParameterType,36,FAMIXEnum,10,FAMIXAnnotationTypeAttribute,1,FAMIXClassGroup,7,FAMIXAnnotationTypeGroup,1,FAMIXAccess,30192,FAMIXMethod,25409,MooseGroup,48,FAMIXJavaSourceLanguage,1,FAMIXComment,15284,FAMIXAnnotationInstanceGroup,1,FAMIXParameterizedType,595,FAMIXAnnotationInstanceAttribute,84,FAMIXLocalVariable,12631,FAMIXInvocation,87250,FAMIXPrimitiveType,9,FAMIXAnnotationInstance,1947,FAMIXParameterizableClass,60,FAMIXMethodGroup,7,FAMIXEnumValue,138,FAMIXNamespaceGroup,3,FAMIXTypeGroup,3,MooseModel,1,FAMIXImplicitVariable,2696,FAMIXNamespace,193,FAMIXParameter,17609,FAMIXAnnotationType,4,FAMIXInheritance,4144,FAMIXAttribute,5806,FAMIXReference,7989,FAMIXFileAnchor,53875
MooseAbstractGroup>>mooseSpecificSpotterProcessorsFor:>>arg>>aSpotterStep,GTSpotterStep,4
MooseModel>>name:>>temp>>oldName,ByteSymbol,1
MooseDefaultState>>propertyAt:ifAbsentPut:>>arg>>aBlock,BlockClosure,262807
MooseEntity>>state,MooseDefaultState,278372
MooseAbstractGroup>>mooseFinderListIn:>>3>>arg>>each,OrderedCollection,15,UndefinedObject,1
MooseModel>>name,ByteString,1,ByteSymbol,1
MooseGroupRuntimeStorage>>updateCacheFor:>>arg>>anElement,FAMIXClass,35814,FAMIXType,8535,FAMIXThrownException,4362,FAMIXCaughtException,2426,FAMIXDeclaredException,1096,FAMIXEnum,49,FAMIXParameterType,155,FAMIXAnnotationTypeAttribute,1,MooseObjectQueryResult,4774,FAMIXAccess,60384,FAMIXMethod,118701,FAMIXJavaSourceLanguage,3,FAMIXComment,30568,FAMIXParameterizedType,2421,FAMIXAnnotationInstanceAttribute,84,FAMIXLocalVariable,25262,FAMIXInvocation,174500,FAMIXPrimitiveType,54,FAMIXAnnotationInstance,3894,FAMIXParameterizableClass,357,FAMIXEnumValue,276,MooseModel,1,FAMIXImplicitVariable,5392,FAMIXNamespace,640,FAMIXParameter,35218,FAMIXAnnotationType,17,FAMIXInheritance,8288,FAMIXAttribute,11612,FAMIXReference,15978,FAMIXFileAnchor,53875
MooseGroup>>printOn:>>arg>>aStream,LimitedWriteStream,5
MooseDefaultState>>attributeAt:ifAbsentPut:>>temp>>each,Association,602471
MSEImporter>>stack,UndefinedObject,1
MooseDefaultState>>attributeAt:ifAbsentPut:>>arg>>aBlock,BlockClosure,284488
MooseAbstractGroup>>allWithType:ofGroupClass:>>arg>>aGroupSmalltalkClass,MooseGroup class,75
MooseEntity>>lookUpPropertyNamed:computedAs:>>arg>>selector,ByteSymbol,60681
MooseAbstractGroup>>allPrimitiveTypes>>1>>arg>>b,FAMIXPrimitiveType,36
MooseAbstractGroup>>doesNotUnderstand:>>arg>>aMessage,Message,1
MooseAbstractGroup>>mooseFinderListIn:>>8>>arg>>each,FAMIXClassGroup,8,FAMIXMethodGroup,10,MooseGroup,2
MooseModel>>cacheMooseGroups>>temp>>selectors,Array,1
MooseAbstractGroup>>do:>>arg>>aBlock,BlockClosure,12
MooseEntity>>mooseFinderNavigationIn:>>arg>>composite,GLMCompositePresentation,1
MooseEntity>>navigationSelectors>>1>>arg>>p,Pragma,47
MooseDefaultState>>attributes,Array,591568
MooseDefaultState>>attributeAt:ifAbsent:>>arg>>aBlock,BlockClosure,101206
MooseAbstractGroup>>allModelTypes>>2>>arg>>each,FAMIXType,2845,FAMIXAnnotationType,4,FAMIXParameterizedType,595,FAMIXPrimitiveType,9,FAMIXClass,5551,FAMIXEnum,10,FAMIXParameterType,36,FAMIXParameterizableClass,60
MooseModel>>allBookmarkedGroups>>1>>arg>>group,FAMIXAnnotationInstanceGroup,1,FAMIXClassGroup,2,FAMIXTypeGroup,3,FAMIXAnnotationTypeGroup,1,FAMIXMethodGroup,2,MooseGroup,43,FAMIXNamespaceGroup,2
MooseEntity>>gtInspectorPresentationsIn:inContext:>>2>>arg>>eachPragma,Pragma,21
MooseAbstractGroup>>allWithSubTypesOf:ofGroupClass:>>arg>>aGroupSmalltalkClass,MooseGroup class,8,FAMIXTypeGroup class,1,FAMIXClassGroup class,3
MooseCustomTask>>with:description:length:>>arg>>aNumber,SmallInteger,1
MooseDefaultState>>queryCache,SmallDictionary,278372
MooseEntity>>gtInspectorPresentationsIn:inContext:>>1>>arg>>x,Pragma,13
MooseModel>>add:>>arg>>anElement,MooseModel,1
MooseEntity>>gtDisplayOn:>>arg>>aStream,LimitedWriteStream,12
MooseGroup>>sorted:>>arg>>aBlock,BlockClosure,17
MooseAbstractGroup>>allWithType:>>arg>>aSmalltalkClass,FAMIXThrownException class,2,FAMIXJavaSourceLanguage class,1,FAMIXAccess class,2,FAMIXEnumValue class,2,FAMIXEnum class,2,FAMIXImplicitVariable class,2,FAMIXCppSourceLanguage class,1,FAMIXCaughtException class,2,FAMIXModule class,2,DynamixTrace class,2,FAMIXInvocation class,2,FAMIXMethod class,3,FAMIXTypeAlias class,2,DudeDuplication class,2,FAMIXUnknownVariable class,2,FAMIXParameterizableClass class,2,FAMIXSmalltalkMonticelloSourceLanguage class,1,FAMIXFunction class,2,FAMIXParameterizedType class,2,HismoModelHistory class,2,FAMIXReference class,2,FAMIXDeclaredException class,2,DudeMultiplication class,2,FAMIXAnnotationInstance class,2,FAMIXPrimitiveType class,2,FAMIXParameterType class,2,FAMIXHeader class,2,FAMIXGlobalVariable class,2,FAMIXCSourceLanguage class,1,FAMIXUnknownSourceLanguage class,1,FAMIXParameter class,2,FAMIXFolder class,2,FAMIXInheritance class,2,FAMIXSourceLanguage class,1,FAMIXAttribute class,2,FAMIXAnnotationType class,2,FAMIXCustomSourceLanguage class,1,FAMIXLocalVariable class,2,FAMIXSmalltalkSourceLanguage class,1,FAMIXComment class,2,FAMIXFile class,2
MooseDefaultState>>attributeAt:put:>>arg>>name,ByteSymbol,279455
MooseEntity>>description:>>arg>>characters,ByteString,125
MooseGroupRuntimeStorage>>updateCacheFor:>>temp>>group,OrderedCollection,604737
MooseAbstractGroup>>mooseFinderListIn:>>2>>arg>>b,FAMIXMethod,605214,FAMIXClass,41502,MooseObjectQueryResult,23211,FAMIXParameterizableClass,61
MooseGroup>>reject:>>temp>>result,FAMIXClassGroup,1,FAMIXMethodGroup,1,MooseGroup,1,FAMIXTypeGroup,1
MooseModel>>mooseDisplayStringOn:>>arg>>stream,WriteStream,1
MooseGroup>>collect:>>arg>>aBlock,ByteSymbol,1
MooseEntityState>>cache:initializer:>>arg>>selector,ByteSymbol,60681
MooseGroupRuntimeStorage>>byType,Dictionary,87
MooseAbstractGroup>>mooseFinderMetanoolIn:>>arg>>composite,GLMCompositePresentation,11
MooseGroup>>spotterItemsFor:>>arg>>aStep,GTSpotterStep,4
MooseEntity>>gtInspectorPresentationsIn:inContext:>>arg>>composite,GLMCompositePresentation,1
